노선번호,유형,종류,운행업체,분리노선,노선아이디,기점,종점,정류장수
849,일반,간선,우창여객㈜,동호-욱수-동호,3000849000,동호동(공영차고지),동호동(공영차고지),54
849,일반,간선,우창여객㈜,동호-욱수-동호(금강),3000849003,동호동(공영차고지),동호동(공영차고지),59
849,일반,간선,우창여객㈜,동호-욱수-동호,3000849102,동호동(공영차고지),동호동(공영차고지),54
849,일반,간선,우창여객㈜,동호(금강)-욱수-동호,3000849103,동호동(공영차고지),동호동(공영차고지),59
909,일반,간선,한일운수㈜,방면없음,3000909002,금구리,신남역,113
980,일반,간선,우창여객㈜,방면없음,3000980000,영남대(조영동),영남대(조영동),101
가창2,일반,지선,영진교통㈜,우록방면,4010002001,칠성시장,칠성시장,103
가창2,일반,지선,영진교통㈜,단산(행정)방면,4010002003,칠성시장,칠성시장,76
가창2,일반,지선,영진교통㈜,정대방면,4010002004,정대리,정대리,78
가창2,일반,지선,영진교통㈜,단산(냉천)방면,4010002118,칠성시장,칠성시장,72
남구1,일반,지선,현대교통㈜,방면없음,4130001000,앞산공원,앞산공원,42
남구1-1,일반,지선,현대교통㈜,방면없음,4130001100,앞산공원,앞산공원,41
달서3,일반,지선,대명교통㈜,방면없음,4030003001,성서산업단지,화원유원지,126
달서4,일반,지선,남도버스㈜,방면없음,4030004000,남도버스,남도버스,92
달성1,일반,지선,세운버스㈜,다산-대곡-다산,4040001006,고령다산,고령다산,29
달성1,일반,지선,세운버스㈜,다산-대곡-득성-다산,4040001007,고령다산,고령다산,33
달성1,일반,지선,세운버스㈜,다산-대곡-노곡-다산,4040001008,고령다산,고령다산,31
달성1,일반,지선,세운버스㈜,다산-대곡-득성-노곡-다산,4040001009,고령다산,고령다산,34
달성2,일반,지선,현대교통㈜,노이-서부정류장-노이,4040002001,노이리,노이리,83
달성2,일반,지선,현대교통㈜,용연사-서부정류장-무지개마을-달성군청,4040002002,용연사,달성군청,69
달성2,일반,지선,현대교통㈜,본리2-서부정류장-본리2,4040002003,본리2리,본리2리,61
달성2,일반,지선,현대교통㈜,달성군청-무지개마을-서부정류장-용연사,4040002005,달성군청,용연사,71
달성2,일반,지선,현대교통㈜,용연사-서부정류장-노이,4040002012,용연사,노이2리,74
달성2,일반,지선,현대교통㈜,달성군청-무지개마을-서부정류장-무지개마을-달성군청,4040002014,달성군청,달성군청,74
달성2,일반,지선,현대교통㈜,본리2-서부정류장-노이,4040002016,본리2리,노이리,71
달성2,일반,지선,현대교통㈜,노이-무지개마을-서부정류장-무지개마을-달성군청,4040002017,노이리,달성군청,82
달성2,일반,지선,현대교통㈜,달성군청-무지개마을-서부정류장-본리2,4040002020,달성군청,본리2리,69
달성2,일반,지선,현대교통㈜,용연사-서부정류장-용연사,4040002021,용연사,용연사,66
달성2,일반,지선,현대교통㈜,본리2-서부정류장-용연사,4040002023,본리2리,용연사,63
달성2,일반,지선,현대교통㈜,노이-서부정류장-무지개마을-달성군청,4040002027,노이리,달성군청,78
달성2,일반,지선,현대교통㈜,달성군청-무지개마을-서부정류장-노이,4040002030,달성군청,노이리,79
달성2,일반,지선,현대교통㈜,노이-서부정류장-본리2,4040002034,노이리,본리2리,72
달성2,일반,지선,현대교통㈜,본리2-서부정류장-무지개마을-달성군청,4040002036,본리2리,달성군청,66
달성2,일반,지선,현대교통㈜,노이-서부정류장-용연사,4040002037,노이리,용연사,75
달성2,일반,지선,현대교통㈜,용연사-서부정류장-본리2,4040002039,용연사,본리2리,64
달성2,일반,지선,현대교통㈜,달성군청-무지개마을-서부정류장-용연사(옥포간경리종료),4040002043,달성군청,옥포간경리,79
달성3,일반,지선,현대교통㈜,단일방면,4040003002,현풍터미널,현풍터미널,40
달성3,일반,지선,현대교통㈜,도동방면(현풍장날방면운행),4040003003,현풍터미널,현풍터미널,37
달성5,일반,지선,현대교통㈜,대곡-용연사-유가사,4040005000,대곡,유가사,41
달성5,일반,지선,현대교통㈜,유가사-유곡1-용연사-대곡,4040005001,유가사,대곡,46
달성5,일반,지선,현대교통㈜,유가사-용연사-대곡,4040005002,유가사,대곡,42
달성5,일반,지선,현대교통㈜,대곡-용연사-유곡1-유가사,4040005003,대곡,유가사,44
달성5,일반,지선,현대교통㈜,대곡-용연사-휴양림-유가사(주말),4040005070,대곡,유가사,44
달성5,일반,지선,현대교통㈜,유가사-용연사-대곡(주말),4040005071,유가사,대곡,42
